season,week,celeb,fan_share,judge_score,judge_z
2,1,Tatum O'Neal,0.08882490658358615,23.0,0.8904382395743354
2,1,Tia Carrere,0.08823094589197775,20.0,0.12720546279633363
2,1,George Hamilton,0.09382386403649608,18.0,-0.3816163883890009
2,1,Lisa Rinna,0.08584489330868346,19.0,-0.12720546279633363
2,1,Stacy Keibler,0.10176940479497264,22.0,0.6360273139816681
2,1,Jerry Rice,0.15566139742426732,21.0,0.3816163883890009
2,1,Giselle Fernandez,0.08718516148600272,23.0,0.8904382395743354
2,1,Master P,0.10859574240509247,12.0,-1.9080819419450046
2,1,Drew Lachey,0.10192511142411151,24.0,1.1448491651670027
2,1,Kenny Mayne,0.0881385726448099,13.0,-1.6536710163523372
2,2,Tatum O'Neal,0.09774611775240513,17.0,-1.307574977248045
2,2,Tia Carrere,0.09708383757198456,22.0,-0.05564148839353364
2,2,George Hamilton,0.10307002962675153,22.0,-0.05564148839353364
2,2,Lisa Rinna,0.09449820744570143,20.0,-0.5564148839353382
2,2,Stacy Keibler,0.11152512336823378,29.0,1.6970653960027822
2,2,Jerry Rice,0.16922375600847733,23.0,0.19474520937736864
2,2,Giselle Fernandez,0.09611513790063098,24.0,0.4451319071482709
2,2,Master P,0.11883687452239765,16.0,-1.5579616750189473
2,2,Drew Lachey,0.11190091580341768,27.0,1.1962920004609776
2,3,Tia Carrere,0.10823731043865123,26.0,0.7673657367500571
2,3,George Hamilton,0.1144401365533913,22.0,-0.17708440078847473
2,3,Lisa Rinna,0.10501893323715313,25.0,0.5312532023654242
2,3,Stacy Keibler,0.12371838195718712,27.0,1.0034782711346901
2,3,Jerry Rice,0.1857094520252374,19.0,-0.8854220039423737
2,3,Giselle Fernandez,0.1073990637972888,22.0,-0.17708440078847473
2,3,Master P,0.13144591912262257,14.0,-2.0659846758655385
2,3,Drew Lachey,0.12403080286846838,27.0,1.0034782711346901
2,4,Tia Carrere,0.12200349576031941,25.0,0.3869637355034293
2,4,George Hamilton,0.1286159120082217,21.0,-0.2503882994433958
2,4,Lisa Rinna,0.1184958962094114,26.0,0.5463017442401356
2,4,Stacy Keibler,0.13886724266990894,26.0,0.5463017442401356
2,4,Jerry Rice,0.20597748183958686,24.0,0.22762572676672302
2,4,Master P,0.1469906282123151,8.0,-2.3217824130205775
2,4,Drew Lachey,0.13904934330023655,28.0,0.8649777617135481
2,5,Tia Carrere,0.14306736270352952,22.0,-1.185187436504851
2,5,George Hamilton,0.15067011768800842,24.0,-0.43664800292284006
2,5,Lisa Rinna,0.1392528110767634,25.0,-0.06237828613183467
2,5,Stacy Keibler,0.16266805325895178,30.0,1.8089702978231923
2,5,Jerry Rice,0.24109951391945825,23.0,-0.8109177197138454
2,5,Drew Lachey,0.16324214135328868,27.0,0.6861611474501761
2,6,George Hamilton,0.17706346529557623,23.0,-1.1476380831481556
2,6,Lisa Rinna,0.16373510168570524,27.0,0.1275153425720168
2,6,Stacy Keibler,0.19016109517794486,30.0,1.0838804118621461
2,6,Jerry Rice,0.27794407257670406,23.0,-1.1476380831481556
2,6,Drew Lachey,0.19109626526406973,30.0,1.0838804118621461
2,7,Lisa Rinna,0.20122681156855332,26.5,0.3429971701673706
2,7,Stacy Keibler,0.23157066405473692,27.5,0.6859943403347412
2,7,Jerry Rice,0.3340743912767784,20.5,-1.714985850836853
2,7,Drew Lachey,0.23312813309993133,27.5,0.6859943403347412
2,8,Stacy Keibler,0.2934342137786345,28.6665,0.5391717652933632
2,8,Jerry Rice,0.4109858785761477,26.666600000000003,-1.4018271788027534
2,8,Drew Lachey,0.29557990764521774,28.9998,0.8626554135093936
