season,week,rule_name,alpha_week,protect_top_quartile,actual_elim,pred_newrule_elim,newrule_matches_actual,pred_elim_in_judge_top_quartile
3,1,A(0.70→0.30)+Prot,0.6636363636363636,1,Tucker Carlson,Tucker Carlson,1,0
3,2,A(0.70→0.30)+Prot,0.6272727272727272,1,Shanna Moakler,Jerry Springer,0,0
3,3,A(0.70→0.30)+Prot,0.5909090909090908,1,Harry Hamlin,Willa Ford,0,0
3,4,A(0.70→0.30)+Prot,0.5545454545454546,1,Vivica A. Fox,Sara Evans,0,0
3,5,A(0.70→0.30)+Prot,0.5181818181818181,1,Willa Ford,Sara Evans,0,0
3,6,A(0.70→0.30)+Prot,0.4818181818181818,1,,Jerry Springer,,0
3,7,A(0.70→0.30)+Prot,0.44545454545454544,1,Jerry Springer,Jerry Springer,1,0
3,8,A(0.70→0.30)+Prot,0.40909090909090906,1,Monique Coleman,Monique Coleman,1,0
3,9,A(0.70→0.30)+Prot,0.3727272727272727,1,Joey Lawrence,Joey Lawrence,1,0
3,10,A(0.70→0.30)+Prot,0.33636363636363636,1,,Mario Lopez,,0
