season,week,rule_name,alpha_week,protect_top_quartile,actual_elim,pred_newrule_elim,newrule_matches_actual,pred_elim_in_judge_top_quartile
5,1,A(0.70→0.30)+Prot,0.6636363636363636,1,Josie Maran,Josie Maran,1,0
5,2,A(0.70→0.30)+Prot,0.6272727272727272,1,Albert Reed,Wayne Newton,0,0
5,3,A(0.70→0.30)+Prot,0.5909090909090908,1,Wayne Newton,Wayne Newton,1,0
5,4,A(0.70→0.30)+Prot,0.5545454545454546,1,Floyd Mayweather Jr. ,Mark Cuban,0,0
5,5,A(0.70→0.30)+Prot,0.5181818181818181,1,Mark Cuban,Mark Cuban,1,0
5,6,A(0.70→0.30)+Prot,0.4818181818181818,1,Sabrina Bryan,Jane Seymour,0,0
5,7,A(0.70→0.30)+Prot,0.44545454545454544,1,Jane Seymour,Cameron Mathison,0,0
5,8,A(0.70→0.30)+Prot,0.40909090909090906,1,Cameron Mathison,Jennie Garth,0,0
5,9,A(0.70→0.30)+Prot,0.3727272727272727,1,Jennie Garth,Jennie Garth,1,0
5,10,A(0.70→0.30)+Prot,0.33636363636363636,1,,Helio Castroneves,,0
